Title,Price,Shipping,Condition,Seller Info,Product Link
N/A,,N/A,,N/A,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
N/A,,N/A,,N/A,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
N/A,$894.98,+$51.79 delivery,Open Box,"minipcsnmore (7,860) 96.2%",https://www.ebay.com/itm/226076600293?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWQ7QVFD63BFYR4ST5X&hash=item34a33727e5:g:ZUoAAOSw3MRiJYzv&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fXcfnu9rBs4vNQBRYWX8olw4%2F40TCXY%2FF%2Bpz91AGeK7iCP0QXBGdXpJ598jLhaPKHd7VZTUE60dTQNYDco5nbqJ0HUinR3rXdfO%2FcubDkVT07yR1EUhulCrOYL6Rp1Vrmw7F3l54oBkBcTEneHkPvmExhtqpOtWLe6Wqw93lJe0A08KNGWvxIckIP0UjzCCJa0JDCvID6IKTLuZT%2FVbXvnuLfvdJ%2BsOju9iA%2F73oaO5XDgz8DzsPd8P%2FvdDxolv2TDEq3isV7Oic%2FLBylU0iXnw0pb7yi7Xmj9DMrZepmEYw%3D%3D%7Ctkp%3ABFBMws7D_qJl
N/A,$929.95,+$110.46 delivery,Good - Refurbished,"hs_tech (8,695) 99.7%",https://www.ebay.com/itm/126603487960?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWQHBPPNZ7HF5R7ZBQM&hash=item1d7a27ead8:g:rX8AAOSwtARnTVy4&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cOS9AMQCIE7Ouis5juNOXUMhNBHD4LKmmtoOOvOQjkyfoG1IYj%2BZQ3Xq1h7gHhY7wEYLVCGdDcQoUrGVea4jgVP3Xm%2BGCSJngMAEwR%2BaplYJwGVod5EOmgP0%2B%2B1vwnMgHrS9XvoFT6G954K%2FQ8hb%2BnonAvPIF32pKxNi8LT44fg6oTkSd1GVzl4nu9ThCj0aFfVGDMvJ%2BRid1iG37btTQoO4Jq%2BqOIDlzovKLIxlevr170ZmJpIxN6IQJlfnKuHO0%3D%7Ctkp%3ABk9SR8LOw_6iZQ
N/A,$849.00,+$95.27 delivery,Certified - Refurbished,"new.techies (17,204) 97.7%",https://www.ebay.com/itm/226560116092?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWQFP9BWWMNJS3TMNHE&hash=item34c009057c:g:~UsAAOSwGYZlSo68&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eZ5%2Fbp9%2FOdhDvYhtJ1ykvvWp0M1Ctz5QD4dWPCTLfZOsKR%2BbyGHGDUKpRXKojpYOtWaorii6%2BKmIwQaksuqFAxgRzUwoqtuTK4u8%2FA6laayLMbRPQ%2FPISmcS2D1zW3KLzw3xd%2FLX94kttwrwC8Gi2MazdeuuaUOcrTbQHJJw69dttI%2FxjzxFMxt982BMhgH%2B0lXWO918t%2Fu0Dky2gBNiSCw4Oiw6qJeMJOhAB153636QqQrq9166vAdztkAj46ovwA8tZPMRIndOhVyoZ%2BY2JT3DSkxkW%2FNxuFX0pGixACMA%3D%3D%7Ctkp%3ABk9SR8LOw_6iZQ
N/A,$479.99,+$97.18 delivery,Good - Refurbished,"itsworthmore (89,594) 98.7%",https://www.ebay.com/itm/296989892377?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWR0NK0PFG257K3E5R9&hash=item4525fa1f19:g:iIkAAeSwWGlnpOQe&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fZRFQu5WYNI%2BbPqyn3UI8U79MIZ8YDH55%2BJF078%2F7edFJjoqLUhCZxixMrx18CLRkZAfg2MHePecYYCMjMQhMRdn80j4JDZm7y0wONqVIAj79QBwfF4wzWGgGiWbt69V58CtxusSQFyzf6%2BewlSuOmpBcWWPVdKa%2BpWmn5TiGZZMhu4KOoEH10j%2B4szLVLqhuFmOdatEmvweLhMbIqa0BtEw1tMuj4TN5lqfhnEXFyDHlZL4FL6vTV%2BAqagryKILU%3D%7Ctkp%3ABk9SR8LOw_6iZQ
N/A,$569.99,+$99.84 delivery,Excellent - Refurbished,"itsworthmore (89,594) 98.7%",https://www.ebay.com/itm/286329055225?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWR1YETVH5F2H0X3FJB&hash=item42aa8aa7f9:g:4TEAAeSwJ7Znr4Zq&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fjO82r3hdMJbh2W7IxfM00RfT3MXwScfPbpS%2BBgh9cftWYx2XLmiA9guh%2FqkwVIGmjuF3y3M1MNPH68wqE5i447esyrCaRBCOGtMUIxb3Wi2sZG5NSUo%2BvJ6SmA8iNtty4F6rCNPCWxLR%2FtgDZVwlOOFKXyb%2BtRyHL4OyOoG1U5udQST888hYszr3ht2ibeZSZJrDwINmiGwjKzlTZlF%2Fh2gKIgbYykc4kdmToFUi3VtZYx4y1tW%2BMOnSLeMNZc80%3D%7Ctkp%3ABk9SR8LOw_6iZQ
N/A,$799.99,+$102.39 delivery,Excellent - Refurbished,"sj_computers_llc (17,856) 98%",https://www.ebay.com/itm/305858866918?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRTWEYXJJ6XQQT1BCR&hash=item47369beee6:g:vtQAAOSwE0pnGl~~&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fpf9uNkQkX%2FaKNcM0fLeRI8RNdErmS%2Bq5cJVk%2FvY9SM%2B%2FDYu%2B8jf4wICO9hxx2pf%2Bs3gZcZZbWG6c0AaH7FCE2v7jk9A9tXLzRuY%2FMYeu9f7jJw8sb3b0MQk1m%2FHEyb6wMoWC4q7Jd4Skl%2BTpx%2FSuFX0vFxcSvxGcbC%2FUZPd89OxLwqwHswb38gYiXSy61G0U%2FyKScRN%2B3lnl5HjIRI3s29VRZbh97UD9jzvVf6zQZmSaMnvIZHc1l0Zlxm15BKFo%3D%7Ctkp%3ABk9SR8LOw_6iZQ
N/A,$415.99,+$82.50 delivery,Excellent - Refurbished,"itsworthmore (89,594) 98.7%",https://www.ebay.com/itm/276809737501?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRPX3VD1H3A6TF8EB2&hash=item407325651d:g:csgAAOSwI9VnfuwW&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cTUraS9Q%2F2gcNOSSl4r0U6AXKQ3WHSlxDhLHypJyM1e%2BcECGNmynRumiIVZSe%2F4bOp712oxqTVLuOhiQh4z00f3I1Up5fmY3Mp93XSaBojX5zZ88%2Fzv768zt8fppWI9iG%2FF26Vq%2FnKgzieO0KQ3bpvgO%2FNUpiHiHuiHWRWohpHnI8BV5jgMh7A6a3rUcga9mRF%2BmPu4MP7Mo6JoYoE72BZzDcpR9N%2BI8HHnTd3Pqv4qQRkOv7QSmEbzKNbVCFGcoc%3D%7Ctkp%3ABk9SR8LOw_6iZQ
N/A,$725.99,+$104.44 delivery,Excellent - Refurbished,"itsworthmore (89,594) 98.7%",https://www.ebay.com/itm/296954351786?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWR8ZKBZ5EF6W0X9FBV&hash=item4523dbd0aa:g:3GYAAOSwmrVnjofP&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1e%2FO5tSLf0pe%2BKheHcp2lFVqmMklnxrpwreB4zCe53EQacNcglhg%2BesiLBzAPzceENMlF6PuEMPOqcx7nMljHciZhhTjrVMfGOjHk%2F5INYhd90UqWz6CxxY%2BPDJjNgxHU5GxyAmQQk%2ByJb%2Fqy5VQ1zjHUiy037mynLWt3XCi4yRteS7ZMUi2MSvK4NCATSYAGqwaMpudNAAq5w9SYkcUcTwJ1I1wXoQOUXYXd4Vtmnw3DOJrdUXNFcwg6PFNbJJ0sUOel0ezlcPguOdhMlW%2BIqlI6sxUFB52kH1kY3FnVWBOw%3D%3D%7Ctkp%3ABk9SR8TOw_6iZQ
N/A,$925.99,+$110.34 delivery,Very Good - Refurbished,"itsworthmore (89,594) 98.7%",https://www.ebay.com/itm/297004093008?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRB041WR9KNS8ATZQF&hash=item4526d2ce50:g:fs4AAeSw809nqmVO&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1evwSYrAW%2FBPqEYy76m1dpFHipexIpbMDIfp3Uo2wOIy3q5IHv7uCT6XsVJHWrYdzr6ZMzPFIseHtChC%2B7c3dWLiE%2FIsaQ4J5JuIL4U6POFvBl6RIUBLURPKFIgOYfJgOzNwCdPP2ZgHPigmx10p%2FQq6uBCmA%2FDWJ22CngAM0Tw70rvcHLrxX37svlHqSL6uHe2bnMATV02iqecQRLetMCuMYSn3Bg5cnioCNwnX5UcykHTyCTd9UTOcKadkILV5OA%3D%7Ctkp%3ABk9SR8TOw_6iZQ
N/A,"$1,528.79",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/167258304548?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRCQX984TXPFPFWMQE&hash=item26f15f3024:g:knIAAOSwAr1nillV&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cNl2vKuRk%2BJbkkwhNdVkYEhbhJbWrmnrbXpGiER%2FEF7wRposF50OuYGY4LZdCzwpKuOgtaeYBTUsOHaK1sQGCFbXTpKd6hsfI2NaZirYig5Hn2l%2FcrT0KBrPorO7RbzGThgmKbWnIxOE8WGTwfS816NhAsPd2i1Ahx5VXB7HOp8GxphFsP2lHYQTPE%2FPNamhmkja5eSjyWXt%2FadGM6IyX3df%2F8V4Gvcmeg1eFY3Kd0bWy%2BNtw1SrvyI0Zy6%2B3GBUI%3D%7Ctkp%3ABk9SR8TOw_6iZQ
N/A,"$1,534.50",+$5.00 delivery,Brand New,"ea_memory (38,019) 98.9%",https://www.ebay.com/itm/314891433329?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRDADH61622SM645SS&hash=item4950fdf571:g:~AYAAOSwQZ1lLQBO&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fAYc16NYzuuQ2lpsPVwHnGqmGvSm%2BdiQL2IKaOCJwtTzNf9ag6gJX%2B0uJ51NwJ2t6nGNA3m%2FW58Uf42cZyk271A43HDjmadtiiq7e%2BpHWfGn0i2G5MNOpupxy6zLKCCtvwTNWE2XA8p%2BOhhHUGjhQJZi61VuorBV3z%2Ff0EklCLp%2BPbucNG16ujRpYcMxu56hucOvL%2FawcEESwb98MIBos0INLeCdDXu%2BT5GItrk5q09zMTvqMNCtb%2FAa%2BNbG15wQU%3D%7Ctkp%3ABk9SR8TOw_6iZQ
N/A,"$2,199.99",+$96.00 delivery,Brand New,zhanjianx-0 (4) 0%,https://www.ebay.com/itm/385245531762?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRERM1HEMBPHXNRP70&hash=item59b26c4e72:g:rR8AAOSwQLJjetER&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1chXEKJAqh4E1dFVU03mBkcynNosZ0X8OzpDtQg56aUtnaTxy1VobNnOKD0b9DTqihQuEXElYIo6vAu3EFc%2Bc9wbiHMQMBm4zJsfhjvGbDufXZkIl7ORfwwolBO86sgrVzwuJ3ku1VQI5sQ8USFXjjq2ncRBK4pImnId%2FNrmEGIDEiJJZEYu6bEA44HTS6d2RAPz0ANBqOhNMHOfeTs3Tq0nYwev9sFIeVKQIIKz%2BKBUscd2j061VGhwCBN95yZ4fKiRTT3mVmdUw3c5CsXgaOPaf%2FUyXWPXlae9w7pDaV34Q%3D%3D%7Ctkp%3ABk9SR8TOw_6iZQ
N/A,"$1,528.79",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/156641484344?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWR7230C3F76E9Z9JB5&hash=item24788f5e38:g:ER8AAOSw7xpnilkN&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dKOLuTHOSpNaZ4VjJGLO8P6vdkkg%2FWq4aBOtac35mixgoemLIw2hSlw8gY80aN%2B%2BtFnWYtQyhzoBSXHBmPV1J%2FpZn0YnJttyZz%2FWRpKqW7q%2BLuODsHjt9utGxiUoEOoGn%2B%2FtEvbX2V9SuHdOhBCEcqvRyLJ0lg1%2FyhOTDFdvrVTbIb7M%2B%2B6NcT%2BDXbzdo8ku4L%2FFbYymJas%2BA%2F8WOt5vZ9SP771mL4dvQ5Tegvkc8Wh8EEQQgnUkPa1Vp9PKZjeBiN4WcsrfSeseD2wYLffnn55Rw3vCtDwQu7KwM3AmPGEQ%3D%3D%7Ctkp%3ABFBMxM7D_qJl
N/A,"$1,512.34",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/167258346365?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRQ5Z3CEEA7FC65B89&hash=item26f15fd37d:g:Tt0AAOSwW1JnjM2R&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cRfP%2BZLDJGjiWhbsWDfBP0daJ9c7PVF8oOgimDt01ETnr10LXd6jPbGpTW9LQkrWfEF4AZCa9t7viXvlRpPXjxY6tsoNtU319ekIincCtQYr4aKsDC85xPTwf%2F66Y7gEhtzf5e%2BM0tvk5KAUpO72RLYkwSSFLQsFX9HJ9grny%2B2jslT%2F2KdHJflvl46%2FY8TUa4llzXix3MLiC359AooqlO6EK8UNVdUoyLU40RRT7NwSbcLgii0iSfrsAS74O4%2Frj4M6NQ5CY%2BP8RiE3mjCNXUKiT172zyPq2Xqgae%2FSkyrQ%3D%3D%7Ctkp%3ABFBMxM7D_qJl
N/A,"$1,875.71",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/156641486060?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRF2R42P44273ASNSB&hash=item24788f64ec:g:H7gAAOSwKLpnillE&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dHrpjOg5TTgtK5DoV400eSXxcZ%2F5HBIQAGnsu4gSd7fgXG0xy%2BrtMllv%2BtyzwQgC7RtLa6MKQc7G9y%2FLYXiaDRcYaJl8TPHLTVxh8UFkgaXRlymBIRbufXjqq3NoH5YIuEOTZ7zNa4Ay2ZfAPjEK7dGrreXAgKdhSqM%2FFgyTg5Z8bCtrUZqrk3F32Mrpyi%2BowZgPaQiXERNIEdmm451BlEK%2BmaKBnXj%2B23tuzM%2F0R2uDLUGOntrmm1NbXPBRPRWFKeJFMFlCqGY%2BeMJhIJke%2B3UZk%2BTIAUCM4SkDQTjDK8GQ%3D%3D%7Ctkp%3ABFBMxM7D_qJl
